Constituency,Const. No.,Leading Candidate,Leading Party,Leading In,Won In,Trailing In,Trailing Candidate,Trailing Party,Leading In.1,Won In.1,Trailing In.1,  Margin,Round,Status,SheetName,STATES,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
Pakke-Kessang,12.0,BIYURAM WAHGE,Bharatiya Janata Party,0.0,46.0,0.0,TECHI HEMU,Nationalist Congress Party,0.0,3.0,0.0,813,2/2,Result Declared,Arunachal Pradesh,,,,,,,
Palin,18.0,BALO RAJA,Bharatiya Janata Party,0.0,46.0,0.0,MAYU TARING,National People's Party,0.0,5.0,0.0,5040,3/3,Result Declared,Arunachal Pradesh,,,,,,,
Pangin,35.0,OJING TASING,Bharatiya Janata Party,0.0,46.0,0.0,TAPANG TALOH,Nationalist Congress Party,0.0,3.0,0.0,2594,5/5,Result Declared,Arunachal Pradesh,,,,,,,
Pasighat(East),38.0,TAPI DARANG,National People's Party,0.0,,0.0,KALING MOYONG,Bharatiya Janata Party,0.0,46.0,0.0,321,5/5,Result Declared,Arunachal Pradesh,,,,,,,
Pasighat(West),37.0,NINONG ERING,Bharatiya Janata Party,0.0,46.0,0.0,TAPYAM PADA,Nationalist Congress Party,0.0,3.0,0.0,2871,4/4,Result Declared,Arunachal Pradesh,,,,,,,
Pongchau-Wakka,60.0,HONCHUN NGANDAM,Bharatiya Janata Party,0.0,46.0,0.0,HOLAI WANGSA,Independent,0.0,3.0,0.0,4662,4/4,Result Declared,Arunachal Pradesh,,,,,,,
Raga,25.0,ROTOM TEBIN,Bharatiya Janata Party,0.0,46.0,0.0,AJAY MURTEM,National People's Party,0.0,5.0,0.0,2934,4/4,Result Declared,Arunachal Pradesh,,,,,,,
Roing,43.0,MUTCHU MITHI,Bharatiya Janata Party,0.0,46.0,0.0,,,0.0,,0.0,-,,Uncontested,Arunachal Pradesh,,,,,,,
Rumgong,32.0,TALEM TABOH,Bharatiya Janata Party,0.0,46.0,0.0,TAJA BONUNG,National People's Party,0.0,5.0,0.0,1182,4/4,Result Declared,Arunachal Pradesh,,,,,,,
Sagalee,15.0,RATU TECHI,Bharatiya Janata Party,0.0,46.0,0.0,,,0.0,,0.0,-,,Uncontested,Arunachal Pradesh,,,,,,,
Seppa (East),10.0,EALING TALLANG,Bharatiya Janata Party,0.0,46.0,0.0,TAME GYADI,Indian National Congress,0.0,1.0,0.0,5600,4/4,Result Declared,Arunachal Pradesh,,,,,,,
Seppa (West),11.0,MAMA NATUNG,Bharatiya Janata Party,0.0,46.0,0.0,TANI LOFFA,National People's Party,0.0,5.0,0.0,1249,3/3,Result Declared,Arunachal Pradesh,,,,,,,
Tali,20.0,JIKKE TAKO,Bharatiya Janata Party,0.0,46.0,0.0,,,0.0,,0.0,-,,Uncontested,Arunachal Pradesh,,,,,,,
Taliha,23.0,NYATO DUKAM,Bharatiya Janata Party,0.0,46.0,0.0,,,0.0,,0.0,-,,Uncontested,Arunachal Pradesh,,,,,,,
Tawang,2.0,NAMGEY TSERING,National People's Party,0.0,,0.0,TSERING DORJEE,Bharatiya Janata Party,0.0,46.0,0.0,996,4/4,Result Declared,Arunachal Pradesh,,,,,,,
Tezu,44.0,DR. MOHESH CHAI,Bharatiya Janata Party,0.0,46.0,0.0,KARIKHO KRI,National People's Party,0.0,5.0,0.0,2805,3/3,Result Declared,Arunachal Pradesh,,,,,,,
Thrizino-Buragaon,6.0,TENZIN NYIMA GLOW,Independent,0.0,,0.0,KUMSI SIDISOW,Bharatiya Janata Party,0.0,46.0,0.0,400,7/7,Result Declared,Arunachal Pradesh,,,,,,,
Tuting-Yingkiong,34.0,ALO LIBANG,Bharatiya Janata Party,0.0,46.0,0.0,NOBENG BURANG,People's Party of Arunachal,0.0,2.0,0.0,915,5/5,Result Declared,Arunachal Pradesh,,,,,,,
Yachuli,16.0,TOKO TATUNG,Nationalist Congress Party,0.0,3.0,0.0,TABA TEDIR,Bharatiya Janata Party,0.0,46.0,0.0,228,4/4,Result Declared,Arunachal Pradesh,,,,,,,
Ziro-Hapoli,17.0,HAGE APPA,Bharatiya Janata Party,0.0,46.0,0.0,,,0.0,,0.0,,,Uncontested,Arunachal Pradesh,,,,,,,
ARITHANG,26.0,ARUN KUMAR UPRETI,Sikkim Krantikari Morcha,0.0,31.0,0.0,ASHIS RAI,Sikkim Democratic Front,0.0,1.0,0.0,2729,45354,Result Declared,Sikkim,,,,,,,
BARFUNG,9.0,RIKSHAL DORJEE BHUTIA,Sikkim Krantikari Morcha,0.0,31.0,0.0,BHAICHUNG BHUTIA,Sikkim Democratic Front,0.0,1.0,0.0,4346,45354,Result Declared,Sikkim,,,,,,,
CHUJACHEN,20.0,PURAN KR. GURUNG,Sikkim Krantikari Morcha,0.0,31.0,0.0,MANI KUMAR GURUNG,Sikkim Democratic Front,0.0,1.0,0.0,3334,45386,Result Declared,Sikkim,,,,,,,
DARAMDIN,6.0,MINGMA NORBU SHERPA,Sikkim Krantikari Morcha,0.0,31.0,0.0,PEM NORBU SHERPA,Sikkim Democratic Front,0.0,1.0,0.0,5975,45354,Result Declared,Sikkim,,,,,,,
DJONGU,30.0,PINTSO NAMGYAL LEPCHA,Sikkim Krantikari Morcha,0.0,31.0,0.0,SONAM GYATSO LEPCHA,Sikkim Democratic Front,0.0,1.0,0.0,5007,45417,Result Declared,Sikkim,,,,,,,
GANGTOK,27.0,DELAY NAMGYAL BARFUNGPA,Sikkim Krantikari Morcha,0.0,31.0,0.0,PINTSO CHOPEL LEPCHA,Sikkim Democratic Front,0.0,1.0,0.0,2692,45354,Result Declared,Sikkim,,,,,,,
GNATHANG-MACHONG,21.0,PAMIN LEPCHA,Sikkim Krantikari Morcha,0.0,31.0,0.0,TSHERING WANGDI LEPCHA,Sikkim Democratic Front,0.0,1.0,0.0,3807,45354,Result Declared,Sikkim,,,,,,,
GYALSHING-BARNYAK,4.0,LOK NATH SHARMA,Sikkim Krantikari Morcha,0.0,31.0,0.0,KHUSANDRA PRASAD SHARMA,Independent,0.0,0.0,0.0,963,45354,Result Declared,Sikkim,,,,,,,
KABI LUNGCHUK,29.0,THENLAY TSHERING BHUTIA,Sikkim Krantikari Morcha,0.0,31.0,0.0,GNAWO CHOPEL LEPCHA,Sikkim Democratic Front,0.0,1.0,0.0,1693,45386,Result Declared,Sikkim,,,,,,,
KHAMDONG-SINGTAM,17.0,NAR BAHADUR DAHAL,Sikkim Krantikari Morcha,0.0,31.0,0.0,MANI KUMAR SHARMA,Sikkim Democratic Front,0.0,1.0,0.0,1739,45354,Result Declared,Sikkim,,,,,,,
LACHEN MANGAN,31.0,SAMDUP LEPCHA,Sikkim Krantikari Morcha,0.0,31.0,0.0,HISHEY LACHUNGPA,Sikkim Democratic Front,0.0,1.0,0.0,851,45354,Result Declared,Sikkim,,,,,,,
MANEYBONG-DENTAM,3.0,SUDESH KUMAR SUBBA,Sikkim Krantikari Morcha,0.0,31.0,0.0,TIKA RAM CHETTRI,Sikkim Democratic Front,0.0,1.0,0.0,6039,45354,Result Declared,Sikkim,,,,,,,
MARTAM-RUMTEK,24.0,SONAM TSH. VENCHUNGPA,Sikkim Krantikari Morcha,0.0,31.0,0.0,MECHUNG BHUTIA,Sikkim Democratic Front,0.0,1.0,0.0,2762,45386,Result Declared,Sikkim,,,,,,,
MELLI,12.0,NAR BAHADUR PRADHAN,Sikkim Krantikari Morcha,0.0,31.0,0.0,GANESH KUMAR RAI,Citizen Action Party-Sikkim,0.0,0.0,0.0,4283,45354,Result Declared,Sikkim,,,,,,,
NAMCHEYBUNG,22.0,RAJU BASNET,Sikkim Krantikari Morcha,0.0,31.0,0.0,PAWAN KUMAR CHAMLING,Sikkim Democratic Front,0.0,1.0,0.0,2256,45386,Result Declared,Sikkim,,,,,,,
NAMCHI-SINGHITHANG,11.0,KRISHNA KUMARI RAI,Sikkim Krantikari Morcha,0.0,31.0,0.0,BIMAL RAI,Sikkim Democratic Front,0.0,1.0,0.0,5302,45354,Result Declared,Sikkim,,,,,,,
NAMTHANG-RATEYPANI,13.0,SANJEET KHAREL,Sikkim Krantikari Morcha,0.0,31.0,0.0,SUMAN PRADHAN,Sikkim Democratic Front,0.0,1.0,0.0,5605,45354,Result Declared,Sikkim,,,,,,,
POKLOK-KAMRANG,10.0,BHOJ RAJ RAI,Sikkim Krantikari Morcha,0.0,31.0,0.0,PAWAN KUMAR CHAMLING,Sikkim Democratic Front,0.0,1.0,0.0,3063,45354,Result Declared,Sikkim,,,,,,,
RANGANG-YANGANG,15.0,RAJ KUMARI THAPA,Sikkim Krantikari Morcha,0.0,31.0,0.0,MANI KUMAR SUBBA,Sikkim Democratic Front,0.0,1.0,0.0,1201,45354,Result Declared,Sikkim,,,,,,,
RHENOCK,19.0,P S TAMANG,Sikkim Krantikari Morcha,0.0,31.0,0.0,SOM NATH POUDYAL,Sikkim Democratic Front,0.0,1.0,0.0,7044,45354,Result Declared,Sikkim,,,,,,,
RINCHENPONG,5.0,ERUNG TENZING LEPCHA,Sikkim Krantikari Morcha,0.0,31.0,0.0,NORDEN BHUTIA,Sikkim Democratic Front,0.0,1.0,0.0,6400,45354,Result Declared,Sikkim,,,,,,,
SALGHARI-ZOOM,8.0,MADAN CINTURY,Sikkim Krantikari Morcha,0.0,31.0,0.0,JANGA BIR DARNAL,Sikkim Democratic Front,0.0,1.0,0.0,2712,45354,Result Declared,Sikkim,,,,,,,
SANGHA,32.0,SONAM LAMA,Sikkim Krantikari Morcha,0.0,31.0,0.0,TSETEN TASHI BHUTIA,Bharatiya Janata Party,0.0,0.0,0.0,865,45354,Result Declared,Sikkim,,,,,,,
SHYARI,23.0,TENZING NORBU LAMTHA,Sikkim Democratic Front,0.0,1.0,0.0,KUNGA NIMA LEPCHA,Sikkim Krantikari Morcha,0.0,31.0,0.0,1314,45354,Result Declared,Sikkim,,,,,,,
SORENG-CHAKUNG,7.0,P S TAMANG,Sikkim Krantikari Morcha,0.0,31.0,0.0,DR. A D SUBBA,Sikkim Democratic Front,0.0,1.0,0.0,7396,45354,Result Declared,Sikkim,,,,,,,
TEMI-NAMPHING,14.0,BEDU SINGH PANTH,Sikkim Krantikari Morcha,0.0,31.0,0.0,SUMAN KUMAR TEWARI,Sikkim Democratic Front,0.0,1.0,0.0,3558,45354,Result Declared,Sikkim,,,,,,,
TUMEN-LINGI,16.0,SAMDUP TSHERING BHUTIA,Sikkim Krantikari Morcha,0.0,31.0,0.0,NORZONG LEPCHA,Sikkim Democratic Front,0.0,1.0,0.0,4088,45354,Result Declared,Sikkim,,,,,,,
UPPER BURTUK,28.0,KALA RAI,Sikkim Krantikari Morcha,0.0,31.0,0.0,DILLI RAM THAPA,Bharatiya Janata Party,0.0,0.0,0.0,2568,45354,Result Declared,Sikkim,,,,,,,
UPPER TADONG,25.0,G.T. DHUNGEL,Sikkim Krantikari Morcha,0.0,31.0,0.0,DR. CHANDRA BAHADUR CHETTRI,Sikkim Democratic Front,0.0,1.0,0.0,4089,45354,Result Declared,Sikkim,,,,,,,
WEST PENDAM,18.0,LALL BAHADUR DAS,Sikkim Krantikari Morcha,0.0,31.0,0.0,ANUP THATAL,Sikkim Democratic Front,0.0,1.0,0.0,1952,45354,Result Declared,Sikkim,,,,,,,
YANGTHANG,2.0,BHIM HANG LIMBOO,Sikkim Krantikari Morcha,0.0,31.0,0.0,KESHAM LIMBOO,Sikkim Democratic Front,0.0,1.0,0.0,2556,45354,Result Declared,Sikkim,,,,,,,
YUKSOM TASHIDING,1.0,TSHERING THENDUP BHUTIA,Sikkim Krantikari Morcha,0.0,31.0,0.0,MEEWANG GYATSO BHUTIA,Sikkim Democratic Front,0.0,1.0,0.0,4812,45354,Result Declared,Sikkim,,,,,,,
,,,,,,,,,,,,,,,Bye Election,Agiaon (Bihar),PRABHUNATH PRASAD,Janata Dal (United),43334.0,291.0,43625.0,31.66
,,,,,,,,,,,,,,,Bye Election,Agiaon (Bihar),SHIV PRAKASH RANJAN,Communist Party of India (Marxist-Leninist) (Liberation),73191.0,269.0,73460.0,53.31
,,,,,,,,,,,,,,,Bye Election,Agiaon (Bihar),UPENDRA KUMAR S/O - CHANDESHWAR RAM,Independent,6414.0,4.0,6418.0,4.66
,,,,,,,,,,,,,,,Bye Election,Agiaon (Bihar),UPENDRA KUMAR S/O- VAIJNATH RAM,Independent,1380.0,3.0,1383.0,1.0
,,,,,,,,,,,,,,,Bye Election,Agiaon (Bihar),PRADEEP KUMAR,Independent,1296.0,8.0,1304.0,0.95
,,,,,,,,,,,,,,,Bye Election,Agiaon (Bihar),BHIKHARI RAM,Independent,1044.0,4.0,1048.0,0.76
,,,,,,,,,,,,,,,Bye Election,Agiaon (Bihar),VIJAY MEHRA,Independent,1493.0,2.0,1495.0,1.08
,,,,,,,,,,,,,,,Bye Election,Agiaon (Bihar),SARASWATI DEVI,Independent,1810.0,11.0,1821.0,1.32
,,,,,,,,,,,,,,,Bye Election,Agiaon (Bihar),SONU KUMAR,Independent,3315.0,7.0,3322.0,2.41
,,,,,,,,,,,,,,,Bye Election,Agiaon (Bihar),NOTA,None of the Above,3909.0,22.0,3931.0,2.85
,,,,,,,,,,,,,,,Bye Election,Vijapur (Gujarat),DR. C. J. CHAVDA,Bharatiya Janata Party,99083.0,1558.0,100641.0,67.49
,,,,,,,,,,,,,,,Bye Election,Vijapur (Gujarat),DINESHBHAI TULSIBHAI PATEL,Indian National Congress,43393.0,1020.0,44413.0,29.78
,,,,,,,,,,,,,,,Bye Election,Vijapur (Gujarat),ANKITKUMAR HARSHADBHAI GOHIL,Independent,960.0,4.0,964.0,0.65
,,,,,,,,,,,,,,,Bye Election,Vijapur (Gujarat),CHAUHAN DINUSINH LAXMANSINH,Independent,367.0,11.0,378.0,0.25
,,,,,,,,,,,,,,,Bye Election,Vijapur (Gujarat),CHAUHAN HARSHADKUMAR PURUSHOTTAMBHAI,Independent,313.0,1.0,314.0,0.21
,,,,,,,,,,,,,,,Bye Election,Vijapur (Gujarat),PATEL TRUSHALKUMAR ARVINDBHAI,Independent,532.0,11.0,543.0,0.36
,,,,,,,,,,,,,,,Bye Election,Vijapur (Gujarat),PARMAR ARVINDBHAI JIVANBHAI,Independent,316.0,5.0,321.0,0.22
,,,,,,,,,,,,,,,Bye Election,Vijapur (Gujarat),SAIYAD MUNAFALI KADARALI,Independent,346.0,1.0,347.0,0.23
,,,,,,,,,,,,,,,Bye Election,Vijapur (Gujarat),NOTA,None of the Above,1140.0,55.0,1195.0,0.8
,,,,,,,,,,,,,,,Bye Election,Porbandar (Gujarat),ARJUN DEVABHAI MODHWADIA,Bharatiya Janata Party,131854.0,1309.0,133163.0,85.96
,,,,,,,,,,,,,,,Bye Election,Porbandar (Gujarat),ODEDARA RAJU BHIMA,Indian National Congress,16096.0,259.0,16355.0,10.56
,,,,,,,,,,,,,,,Bye Election,Porbandar (Gujarat),RASIK GHELA MANGERA,Viro Ke Vir Indian Party,785.0,21.0,806.0,0.52
,,,,,,,,,,,,,,,Bye Election,Porbandar (Gujarat),ASHVIN DEVAJI MOTIVARAS,Independent,470.0,7.0,477.0,0.31
,,,,,,,,,,,,,,,Bye Election,Porbandar (Gujarat),JUNGI JIVANBHAI RANCHHODBHAI,Independent,1077.0,12.0,1089.0,0.7
,,,,,,,,,,,,,,,Bye Election,Porbandar (Gujarat),DILAWAR LAKHABHAI JOKHIA,Independent,383.0,3.0,386.0,0.25
,,,,,,,,,,,,,,,Bye Election,Porbandar (Gujarat),NOTA,None of the Above,2558.0,75.0,2633.0,1.7
,,,,,,,,,,,,,,,Bye Election,Manavadar (Gujarat),ARVINDBHAI JINABHAI LADANI,Bharatiya Janata Party,80898.0,1119.0,82017.0,60.03
,,,,,,,,,,,,,,,Bye Election,Manavadar (Gujarat),HARIBHAI GOVINDBHAI KANSAGARA,Indian National Congress,50101.0,900.0,51001.0,37.33
,,,,,,,,,,,,,,,Bye Election,Manavadar (Gujarat),PARMAR MAHESH RAMJIBHAI,Independent,1057.0,16.0,1073.0,0.79
,,,,,,,,,,,,,,,Bye Election,Manavadar (Gujarat),SOLANKI UMEDBHAI JENTIBHAI,Independent,593.0,4.0,597.0,0.44
,,,,,,,,,,,,,,,Bye Election,Manavadar (Gujarat),NOTA,None of the Above,1849.0,101.0,1950.0,1.43
,,,,,,,,,,,,,,,Bye Election,Khambhat (Gujarat),CHIRAGKUMAR ARVINDBHAI PATEL,Bharatiya Janata Party,87707.0,750.0,88457.0,56.3
,,,,,,,,,,,,,,,Bye Election,Khambhat (Gujarat),MAHENDRASINH HARISINH PARMAR,Indian National Congress,49505.0,624.0,50129.0,31.91
,,,,,,,,,,,,,,,Bye Election,Khambhat (Gujarat),CHAUHAN MAHIPATSINH KESARISINH,Independent,15631.0,185.0,15816.0,10.07
,,,,,,,,,,,,,,,Bye Election,Khambhat (Gujarat),MANUBHAI JETHABHAI VANKAR,Independent,795.0,11.0,806.0,0.51
,,,,,,,,,,,,,,,Bye Election,Khambhat (Gujarat),NOTA,None of the Above,1886.0,23.0,1909.0,1.22
,,,,,,,,,,,,,,,Bye Election, Vaghodia (Gujarat),KANUBHAI PUNJABHAI GOHIL,Indian National Congress,45144.0,194.0,45338.0,25.65
,,,,,,,,,,,,,,,Bye Election, Vaghodia (Gujarat),DHARMENDRASINH VAGHELA (BAPU),Bharatiya Janata Party,126905.0,541.0,127446.0,72.1
,,,,,,,,,,,,,,,Bye Election, Vaghodia (Gujarat),NOTA,None of the Above,3943.0,29.0,3972.0,2.25
,,,,,,,,,,,,,,,Bye Election,KARNAL (Haryana),TARLOCHAN SINGH,Indian National Congress,53231.0,233.0,53464.0,35.13
,,,,,,,,,,,,,,,Bye Election,KARNAL (Haryana),NAYAB SINGH,Bharatiya Janata Party,94714.0,290.0,95004.0,62.43
,,,,,,,,,,,,,,,Bye Election,KARNAL (Haryana),RAJINDER,Jannayak Janta Party,1072.0,1.0,1073.0,0.71
,,,,,,,,,,,,,,,Bye Election,KARNAL (Haryana),TILAK RAJ SINGLA,Rashtriya Garib Dal,331.0,0.0,331.0,0.22
,,,,,,,,,,,,,,,Bye Election,KARNAL (Haryana),ROHATASH,Rashtriya Mazdoor Ekta Party,252.0,0.0,252.0,0.17
,,,,,,,,,,,,,,,Bye Election,KARNAL (Haryana),SURESH KUMAR,Peoples Party of India (Democratic),279.0,0.0,279.0,0.18
,,,,,,,,,,,,,,,Bye Election,KARNAL (Haryana),RAJENDER ARYA DADUPUR,Independent,212.0,2.0,214.0,0.14
,,,,,,,,,,,,,,,Bye Election,KARNAL (Haryana),SHAMSHER SINGH NAIN,Independent,143.0,1.0,144.0,0.09
,,,,,,,,,,,,,,,Bye Election,KARNAL (Haryana),ENGG. SURESH KUMAR,Independent,296.0,2.0,298.0,0.2
,,,,,,,,,,,,,,,Bye Election,KARNAL (Haryana),NOTA,None of the Above,1106.0,7.0,1113.0,0.73
,,,,,,,,,,,,,,,Bye Election, DHARAMSHALA (Himachal Pradesh),DEVINDER SINGH (JAGGI),Indian National Congress,21918.0,622.0,22540.0,36.19
,,,,,,,,,,,,,,,Bye Election, DHARAMSHALA (Himachal Pradesh),SUDHIR SHARMA,Bharatiya Janata Party,27529.0,537.0,28066.0,45.06
,,,,,,,,,,,,,,,Bye Election, DHARAMSHALA (Himachal Pradesh),RAKESH CHAUDHARY,Independent,10637.0,133.0,10770.0,17.29
,,,,,,,,,,,,,,,Bye Election, DHARAMSHALA (Himachal Pradesh),SATISH KUMAR,Independent,409.0,13.0,422.0,0.68
,,,,,,,,,,,,,,,Bye Election, DHARAMSHALA (Himachal Pradesh),NOTA,None of the Above,471.0,11.0,482.0,0.77
,,,,,,,,,,,,,,,Bye Election,LAHAUL & SPITI (Himachal Pradesh),ANURADHA RANA,Indian National Congress,8877.0,537.0,9414.0,47.09
,,,,,,,,,,,,,,,Bye Election,LAHAUL & SPITI (Himachal Pradesh),RAVI THAKUR,Bharatiya Janata Party,2934.0,115.0,3049.0,15.25
,,,,,,,,,,,,,,,Bye Election,LAHAUL & SPITI (Himachal Pradesh),DR. RAM LAL MARKANDA,Independent,7091.0,363.0,7454.0,37.28
,,,,,,,,,,,,,,,Bye Election,LAHAUL & SPITI (Himachal Pradesh),NOTA,None of the Above,75.0,1.0,76.0,0.38
,,,,,,,,,,,,,,,Bye Election,SUJANPUR (Himachal Pradesh),CAPTAIN RANJIT SINGH,Indian National Congress,28577.0,952.0,29529.0,51.4
,,,,,,,,,,,,,,,Bye Election,SUJANPUR (Himachal Pradesh),RAJINDER RANA,Bharatiya Janata Party,26403.0,686.0,27089.0,47.16
,,,,,,,,,,,,,,,Bye Election,SUJANPUR (Himachal Pradesh),RAVINDER SINGH DOGRA,Nationalist Congress Party,314.0,20.0,334.0,0.58
,,,,,,,,,,,,,,,Bye Election,SUJANPUR (Himachal Pradesh),ANIL RANA,Independent,132.0,2.0,134.0,0.23
,,,,,,,,,,,,,,,Bye Election,SUJANPUR (Himachal Pradesh),RAJESH KUMAR,Independent,45.0,1.0,46.0,0.08
,,,,,,,,,,,,,,,Bye Election,SUJANPUR (Himachal Pradesh),SHER SINGH,Independent,66.0,5.0,71.0,0.12
,,,,,,,,,,,,,,,Bye Election,SUJANPUR (Himachal Pradesh),NOTA,None of the Above,235.0,6.0,241.0,0.42
,,,,,,,,,,,,,,,Bye Election, BARSAR (Himachal Pradesh),INDER DUTT LAKHANPAL,Bharatiya Janata Party,32174.0,912.0,33086.0,51.04
,,,,,,,,,,,,,,,Bye Election, BARSAR (Himachal Pradesh),SUBHASH CHAND,Indian National Congress,29857.0,1104.0,30961.0,47.76
,,,,,,,,,,,,,,,Bye Election, BARSAR (Himachal Pradesh),VISHAL SHARMA,Independent,430.0,22.0,452.0,0.7
,,,,,,,,,,,,,,,Bye Election, BARSAR (Himachal Pradesh),NOTA,None of the Above,310.0,13.0,323.0,0.5
,,,,,,,,,,,,,,,Bye Election,GAGRET (Himachal Pradesh),CHAITANYA SHARMA,Bharatiya Janata Party,26815.0,466.0,27281.0,42.08
,,,,,,,,,,,,,,,Bye Election,GAGRET (Himachal Pradesh),RAKESH KALIA,Indian National Congress,34785.0,983.0,35768.0,55.17
,,,,,,,,,,,,,,,Bye Election,GAGRET (Himachal Pradesh),AMIT VASHISHT,Independent,559.0,11.0,570.0,0.88
,,,,,,,,,,,,,,,Bye Election,GAGRET (Himachal Pradesh),ASHOK SONKHALA (MIKKI),Independent,319.0,4.0,323.0,0.5
,,,,,,,,,,,,,,,Bye Election,GAGRET (Himachal Pradesh),MANOHAR LAL SHARMA,Independent,282.0,6.0,288.0,0.44
,,,,,,,,,,,,,,,Bye Election,GAGRET (Himachal Pradesh),NOTA,None of the Above,599.0,7.0,606.0,0.93
,,,,,,,,,,,,,,,Bye Election,KUTLEHAR (Himachal Pradesh),DAVINDER KUMAR (BHUTTO),Bharatiya Janata Party,30841.0,656.0,31497.0,45.5
,,,,,,,,,,,,,,,Bye Election,KUTLEHAR (Himachal Pradesh),VIVEK SHARMA (VICKU),Indian National Congress,35728.0,1125.0,36853.0,53.24
,,,,,,,,,,,,,,,Bye Election,KUTLEHAR (Himachal Pradesh),CHANCHAL SINGH,Independent,290.0,10.0,300.0,0.43
,,,,,,,,,,,,,,,Bye Election,KUTLEHAR (Himachal Pradesh),RAJEEV SHARMA,Independent,228.0,6.0,234.0,0.34
,,,,,,,,,,,,,,,Bye Election,KUTLEHAR (Himachal Pradesh),NOTA,None of the Above,337.0,4.0,341.0,0.49
,,,,,,,,,,,,,,,Bye Election,31 - Gandey (Jharkhand),KALPANA MURMU SOREN,Jharkhand Mukti Morcha,109085.0,742.0,109827.0,50.54
,,,,,,,,,,,,,,,Bye Election,32 - Gandey (Jharkhand),DILIP KUMAR VERMA,Bharatiya Janata Party,82284.0,394.0,82678.0,38.05
,,,,,,,,,,,,,,,Bye Election,33 - Gandey (Jharkhand),INTEKHAB ANSARI,All India Majlis-E-Ittehadul Muslimeen,4758.0,6.0,4764.0,2.19
,,,,,,,,,,,,,,,Bye Election,34 - Gandey (Jharkhand),TAHIR ANSARI,Rashtriya Samanta Dal,1029.0,1.0,1030.0,0.47
,,,,,,,,,,,,,,,Bye Election,35 - Gandey (Jharkhand),ARJUN BAITHA,Independent,6933.0,27.0,6960.0,3.2
,,,,,,,,,,,,,,,Bye Election,36 - Gandey (Jharkhand),AWADHESH KUMAR SINGH,Independent,1134.0,4.0,1138.0,0.52
,,,,,,,,,,,,,,,Bye Election,37 - Gandey (Jharkhand),MD. KAUSAR AZAD,Independent,2052.0,2.0,2054.0,0.95
,,,,,,,,,,,,,,,Bye Election,38 - Gandey (Jharkhand),GULAB PD VERMA,Independent,793.0,1.0,794.0,0.37
,,,,,,,,,,,,,,,Bye Election,39 - Gandey (Jharkhand),MD. SHABBIR ANSARI,Independent,756.0,0.0,756.0,0.35
,,,,,,,,,,,,,,,Bye Election,40 - Gandey (Jharkhand),SHAHADAT ANSARI,Independent,1079.0,1.0,1080.0,0.5
,,,,,,,,,,,,,,,Bye Election,41 - Gandey (Jharkhand),MD. SAYEED ALAM,Independent,1976.0,12.0,1988.0,0.91
,,,,,,,,,,,,,,,Bye Election,42 - Gandey (Jharkhand),NOTA,None of the Above,4214.0,5.0,4219.0,1.94
,,,,,,,,,,,,,,,Bye Election, Shorapur (Karnataka),NARASIMHA NAYAK,Bharatiya Janata Party,96052.0,514.0,96566.0,44.85
,,,,,,,,,,,,,,,Bye Election, Shorapur (Karnataka),RAJA VENUGOPAL NAIK,Indian National Congress,114290.0,596.0,114886.0,53.36
,,,,,,,,,,,,,,,Bye Election, Shorapur (Karnataka),ASHOKA,Independent,1612.0,0.0,1612.0,0.75
,,,,,,,,,,,,,,,Bye Election, Shorapur (Karnataka),VENUGOPAL,Independent,512.0,2.0,514.0,0.24
,,,,,,,,,,,,,,,Bye Election, Shorapur (Karnataka),VENKATAPPA NAYAK,Independent,447.0,0.0,447.0,0.21
,,,,,,,,,,,,,,,Bye Election, Shorapur (Karnataka),SHASHIKUMAR,Independent,426.0,0.0,426.0,0.2
,,,,,,,,,,,,,,,Bye Election, Shorapur (Karnataka),NOTA,None of the Above,844.0,4.0,848.0,0.39
,,,,,,,,,,,,,,,Bye Election,BAGIDORA (Rajasthan),KAPURSINGH,Indian National Congress,8881.0,23.0,8904.0,4.25
,,,,,,,,,,,,,,,Bye Election,BAGIDORA (Rajasthan),SUBHASH TAMBOLIYA,Bharatiya Janata Party,70115.0,1024.0,71139.0,33.92
,,,,,,,,,,,,,,,Bye Election,BAGIDORA (Rajasthan),JAIKRISHN PATEL,Bharat Adivasi Party,121423.0,1150.0,122573.0,58.45
,,,,,,,,,,,,,,,Bye Election,BAGIDORA (Rajasthan),NOTA,None of the Above,7080.0,12.0,7092.0,3.38
,,,,,,,,,,,,,,,Bye Election,Vilavancode (Tamil Nadu),THARAHAI CUTHBERT,Indian National Congress,89387.0,1667.0,91054.0,57.71
,,,,,,,,,,,,,,,Bye Election,Vilavancode (Tamil Nadu),NANTHINI V S,Bharatiya Janata Party,50008.0,872.0,50880.0,32.25
,,,,,,,,,,,,,,,Bye Election,Vilavancode (Tamil Nadu),RANI U,All India Anna Dravida Munnetra Kazhagam,5178.0,89.0,5267.0,3.34
,,,,,,,,,,,,,,,Bye Election,Vilavancode (Tamil Nadu),JEMINI R,Naam Tamilar Katchi,7929.0,221.0,8150.0,5.17
,,,,,,,,,,,,,,,Bye Election,Vilavancode (Tamil Nadu),OM PRAKASH A,Independent,164.0,3.0,167.0,0.11
,,,,,,,,,,,,,,,Bye Election,Vilavancode (Tamil Nadu),THANGAPPAN C,Independent,105.0,5.0,110.0,0.07
,,,,,,,,,,,,,,,Bye Election,Vilavancode (Tamil Nadu),MANAVAI KANNAN M,Independent,175.0,3.0,178.0,0.11
